areaCodeName,city,degreeName,detail_href,headCount,highMonthPay,jobId,jobName,keyUnits,location,lowMonthPay,publishDate,recId,recName,recProperty,recScale,recTags,sortPriority,updateDate,userType
北京,北京,硕士,https://job.ncss.cn/student/jobs/2gD9qNThoRftPhGPGfrTK8/detail.html,7,50.0,2gD9qNThoRftPhGPGfrTK8,软件开发,0,北京市丰台区北京市丰台区南苑东路5号,1.0,2020-03-05 17:33,-,中国航空工业集团公司北京航空精密机械研究所,国有企业,500-999人,,0,2020-03-05 17:33,11
北京,北京,本科,https://job.ncss.cn/student/jobs/2Rfjr33C9hmTnh7Vu828Cs/detail.html,10,50.0,2Rfjr33C9hmTnh7Vu828Cs,(一)	芯片前端设计工程师,0,北京市海淀区中关村大街甲36号,1.0,2020-03-05 17:33,-,中国国际人才开发中心,国有企业,100-499人,,0,2020-03-05 17:33,11
北京,北京,本科,https://job.ncss.cn/student/jobs/13bDYWSsnDTKSZMu6ejj4G/detail.html,2,50.0,13bDYWSsnDTKSZMu6ejj4G,UI/视觉设计岗,0,北京市西城区北京市西城区金融大街16号,1.0,2020-03-05 17:33,-,中国人寿保险股份有限公司,国有企业,500-999人,,0,2020-03-05 17:33,11
北京,北京,硕士,https://job.ncss.cn/student/jobs/2Xtqp4a8VyB9qWqSymu2Pc/detail.html,4,15.0,2Xtqp4a8VyB9qWqSymu2Pc,软件工程师,0,北京市朝阳区北京市朝阳区双泉堡甲2号,5.0,2020-03-05 17:33,-,北京环佳通信技术有限公司,国有企业,100-499人,,0,2020-03-05 17:33,11
北京,北京,本科,https://job.ncss.cn/student/jobs/3dFT9X6Kzi31DdXmWZYaSC/detail.html,30,50.0,3dFT9X6Kzi31DdXmWZYaSC,网络优化与维护,0,北京市西城区北京市西城区骡马市大街9号,1.0,2020-03-05 17:33,-,中国联合网络通信有限公司北京市分公司,国有企业,5000以上,,0,2020-03-05 17:33,11
山东,青岛,本科,https://job.ncss.cn/student/jobs/435SGJteNZnjhVuXTGivdq/detail.html,10,50.0,435SGJteNZnjhVuXTGivdq,数字IC工程师,0,山东省青岛市青岛市高新区华贯路鼎信科技产业园,1.0,2020-03-05 17:33,-,青岛鼎信通讯股份有限公司,上市公司,1000-4999人,,0,2020-03-05 17:33,11
上海,上海,本科,https://job.ncss.cn/student/jobs/48bdgXNYzQQW9Ygw52fm2Q/detail.html,10,50.0,48bdgXNYzQQW9Ygw52fm2Q,软件研发,0,上海市市辖区中国（上海）自由贸易试验区新金桥路27号13号楼2楼,1.0,2020-03-05 17:33,-,中移(上海)信息通信科技有限公司,国有企业,5000以上,,0,2020-03-05 17:33,11
北京,北京,本科,https://job.ncss.cn/student/jobs/3rdbJ4UfkgtVe3jSH5XPNV/detail.html,5,50.0,3rdbJ4UfkgtVe3jSH5XPNV,Java开发工程师,0,北京市海淀区北京市海淀区丰润东路12号,1.0,2020-03-05 17:33,-,北京爱博精电科技有限公司,民营企业,100-499人,,0,2020-03-05 17:33,11
山东,烟台,本科,https://job.ncss.cn/student/jobs/3XiSUkMGMTDi72ikQV7xao/detail.html,10,50.0,3XiSUkMGMTDi72ikQV7xao,电力主站实施工程师,0,山东省烟台市山东省烟台市芝罘区机场路2号,1.0,2020-03-05 17:33,-,东方电子股份有限公司,国有企业,1000-4999人,,0,2020-03-05 17:33,11
北京,北京,硕士,https://job.ncss.cn/student/jobs/4ANtPPrSnrfwia97xa5W1r/detail.html,10,50.0,4ANtPPrSnrfwia97xa5W1r,直流输电及电力电子工程师,0,北京市海淀区北京市海淀区上地信息产业基地四街9号,1.0,2020-03-05 17:33,-,北京四方继保自动化股份有限公司,上市公司,1000-4999人,,0,2020-03-05 17:33,11
北京,北京,硕士,https://job.ncss.cn/student/jobs/48vupUbRyxE5AaGYLq3pLM/detail.html,1,50.0,48vupUbRyxE5AaGYLq3pLM,项目管理专员,0,北京市海淀区北京市海淀区中关村南四街4号,1.0,2020-03-05 17:33,-,中国科学院软件研究所,机关/事业单位/非营利机构,500-999人,,0,2020-03-05 17:33,11
北京,北京,硕士,https://job.ncss.cn/student/jobs/3U37QntyyotYXTWx6gc9vQ/detail.html,5,50.0,3U37QntyyotYXTWx6gc9vQ,电网咨询分析工程师,0,北京市海淀区北京市海淀区清河小营东路15号,1.0,2020-03-05 17:33,-,北京科东电力控制系统有限责任公司,国有企业,1000-4999人,,0,2020-03-05 17:33,11
广东,广州,本科,https://job.ncss.cn/student/jobs/3Gfk21spsEu9tX3MYu9s8Q/detail.html,3,50.0,3Gfk21spsEu9tX3MYu9s8Q,软件开发工程师,0,北京市海淀区北京市海淀区学院路街道30号科大天工大厦A座8层,1.0,2020-03-05 17:33,-,北京海悟技术有限公司,民营企业,1000-4999人,,0,2020-03-05 17:33,11
北京,北京,硕士,https://job.ncss.cn/student/jobs/3DNfYWCuo6NzZuSQf68GbR/detail.html,1,50.0,3DNfYWCuo6NzZuSQf68GbR,硬件研发工程师,0,北京市昌平区北京市昌平区南邵镇南中路 16 号 1 号产业大厦,1.0,2020-03-05 17:33,-,中电普瑞电力工程有限公司,国有企业,500-999人,,0,2020-03-05 17:33,11
